carrier,canceled_flights,cities
Pinnacle Airlines Inc.,7939,"Newburgh, NA, Allentown, Detroit, Kansas City, Indianapolis, Covington, Des Moines, Pellston, Kalamazoo, Madison, Arlington, Bismarck, Minneapolis, Lincoln, Harrisburg, Rhinelander, Rochester, Pensacola, Fayetteville/Springdale/Rogers, South Bend, Knoxville, Philadelphia, Sioux City, Burlington, New York, Boston, Elmira, Memphis, Wilkes-Barre/Scranton, Greer, White Plains, Chattanooga, Cedar Rapids, Mosinee, Charleston, Jackson, Moline, Montgomery, Asheville, Huntsville, Columbia, Denver, Louisville, Waterloo, Raleigh, Oklahoma City, Austin, Omaha, Birmingham, St Louis, Cleveland, Tulsa, Springfield, Dallas-Fort Worth, Evansville, Shreveport, Wichita, Houston, Idaho Falls, Green Bay, Appleton, Dayton, Grand Rapids, Fort Wayne, Flint, Portland, Roanoke, Richmond, Greensboro, Jacksonville, Columbus, Casper, Traverse City, Duluth, La Crosse, Windsor Locks, Myrtle Beach, Sioux Falls, Grand Forks, Binghamton, Erie, Lansing, Bangor, Saginaw, Pittsburgh, Lexington, Chantilly, Hancock, Fargo, Akron, Ft. Myers, Savannah, Eau Claire, Albany, Little Rock, Gulfport-Biloxi, Panama City, Baltimore, Charlotte, Tallahassee, Mobile, Nashville, Helena, Rapid City, Manchester, Norfolk, Fort Smith, Ft. Lauderdale, International Falls, Baton Rouge, Bemidji, Kalispell, Great Falls, Peoria, Salt Lake City, Bozeman, Buffalo"
Northwest Airlines Inc.,7814,"Honolulu, Los Angeles, Kahului, Green Bay, Phoenix, Minneapolis, Chicago, Rochester, Houston, San Jose, Seattle, San Francisco, Arlington, Detroit, Ft. Lauderdale, Grand Rapids, Valparaiso, Little Rock, Memphis, Philadelphia, Baltimore, Boston, Raleigh, Dallas-Fort Worth, Kalamazoo, Atlanta, St Louis, Indianapolis, Austin, New York, Albuquerque, Newark, Bozeman, Great Falls, Kalispell, Eagle, Saginaw, Duluth, Milwaukee, Kansas City, Omaha, Gulfport-Biloxi, San Antonio, Madison, Portland, Windsor Locks, Las Vegas, Denver, Louisville, Chantilly, Traverse City, Oklahoma City, Albany, Syracuse, Charlotte, Jacksonville, Bismarck, Flint, Sioux Falls, Lansing, Cleveland, Nashville, Greer, Orlando, Santa Ana, San Diego, Columbus, New Orleans, Savannah, Cedar Rapids, Tampa, Minot, Salt Lake City, Fargo, Manchester, Rapid City, Birmingham, West Palm Beach, Miami, Baton Rouge, Pittsburgh, Grand Forks, Ft. Myers, Buffalo, Des Moines, Myrtle Beach, La Crosse, Harrisburg, Providence, Norfolk, Missoula, Sarasota, Sacramento, Anchorage, Colorado Springs, Kailua/Kona, Richmond, Spokane, Tucson, Billings, Boise, Hayden"
Delta Air Lines Inc.,6521,"Atlanta, Birmingham, New York, Boston, Salt Lake City, Greensboro, Rochester, Pensacola, Houston, Baltimore, Jackson, New Orleans, Charleston, Chantilly, Norfolk, Pittsburgh, Newark, Tallahassee, Newport News, Chicago, Savannah, Memphis, San Antonio, Philadelphia, Ft. Myers, Austin, Richmond, Raleigh, Los Angeles, Arlington, Covington, Albuquerque, Sarasota, San Francisco, Charlotte, Orlando, St Louis, Nashville, Oakland, Melbourne, Dallas-Fort Worth, Ft. Lauderdale, Las Vegas, Tampa, Jacksonville, Miami, Providence, Sacramento, Windsor Locks, Phoenix, Indianapolis, Denver, San Diego, Dayton, Cleveland, Valparaiso, Knoxville, Columbia, San Jose, Seattle, Santa Ana, Milwaukee, Columbus, Lexington, Eagle, Kansas City, Oklahoma City, Honolulu, San Juan, Daytona Beach, West Palm Beach, Portland, Christiansted, Greer, Minneapolis, Buffalo, Wichita, Little Rock, Mobile, Detroit, Huntsville, El Paso, Syracuse, Charlotte Amalie, Hayden, Montrose, Louisville, Bozeman, Gulfport-Biloxi, Anchorage, Ontario, Boise, Reno, Kahului, Spokane, Colorado Springs"
JetBlue Airways,3710,"Long Beach, Oakland, Sacramento, Boston, Charlotte, Chantilly, New York, Pittsburgh, Austin, Phoenix, Richmond, Buffalo, Columbus, Chicago, Nashville, Burlington, Burbank, Denver, Newark, Ft. Lauderdale, Houston, Jacksonville, Las Vegas, Orlando, New Orleans, Ontario, West Palm Beach, Portland, Raleigh, Rochester, Ft. Myers, San Diego, San Jose, San Juan, Salt Lake City, Sarasota, Newburgh, Syracuse, Tampa, Tucson, Aguadilla, Ponce, Seattle, White Plains, Nantucket, San Francisco"
Continental Air Lines Inc.,2951,"Chicago, Arlington, Columbus, Houston, Tampa, San Antonio, Newark, San Jose, Philadelphia, New York, New Orleans, Boston, West Palm Beach, Atlanta, Seattle, Orlando, Eagle, Tulsa, Austin, Dallas-Fort Worth, Oklahoma City, Denver, Miami, Chantilly, Baton Rouge, Detroit, Cleveland, Phoenix, McAllen, Minneapolis, Omaha, Santa Ana, Los Angeles, Las Vegas, Ft. Myers, San Francisco, Tucson, Daytona Beach, Baltimore, Ft. Lauderdale, Buffalo, Sarasota, Jacksonville, Albuquerque, Honolulu, Anchorage, San Diego, Raleigh, Ponce, Charlotte Amalie, San Juan, Salt Lake City, Hayden, Myrtle Beach, Montrose, El Paso, Portland, Indianapolis, Providence, Aguadilla, Birmingham, Oakland, Pittsburgh, Kansas City, Windsor Locks, Reno"
AirTran Airways Corporation,2602,"Atlanta, Richmond, New York, Pensacola, Boston, Baltimore, Chantilly, Memphis, Philadelphia, Tampa, Sarasota, West Palm Beach, Newport News, Dallas-Fort Worth, White Plains, Kansas City, Ft. Myers, Wichita, Chicago, Savannah, Miami, Bloomington, Denver, Ft. Lauderdale, Houston, Orlando, Pittsburgh, Newburgh, Charlotte, Arlington, Jacksonville, Minneapolis, Raleigh, Dayton, Newark, Buffalo, Gulfport-Biloxi, New Orleans, Detroit, Milwaukee, Akron, Indianapolis, Moline, Rochester, Daytona Beach, Flint, Las Vegas, San Francisco, St Louis, Portland, Charleston, San Diego, Seattle, Phoenix"
Alaska Airlines Inc.,2563,"Juneau, Ketchikan, Anchorage, Bethel, King Salmon, Fairbanks, San Jose, Kodiak, Yakutat, Cordova, San Francisco, San Diego, Seattle, Phoenix, Long Beach, Reno, Portland, Oakland, Santa Ana, Palm Springs, Kotzebue, Nome, Denver, Ontario, Sacramento, Los Angeles, Dillingham, Dallas-Fort Worth, Wrangell, Spokane, Las Vegas, Burbank, Deadhorse, Barrow, Sitka, Petersburg, Adak, Arlington, Boston, Newark, Chicago, Boise, Miami, Orlando, Gustavus, Tucson, Lihue"
Frontier Airlines Inc.,398,"Dallas-Fort Worth, Denver, Kansas City, St Louis, Oklahoma City, Albuquerque, Austin, San Antonio, Houston, Detroit, San Diego, Orlando, San Francisco, Arlington, Chicago, Los Angeles, Santa Ana, Dayton, Akron, Indianapolis, Omaha, Portland, Fresno, Phoenix, Milwaukee, Minneapolis, Philadelphia, New York, Atlanta, Nashville, Las Vegas, Salt Lake City, Tucson, Jacksonville, Windsor Locks, Seattle, Tulsa, Louisville, Memphis"
Aloha Airlines Inc.,388,"Honolulu, Lihue, Kahului, Kailua/Kona, Oakland, San Diego, Reno, Santa Ana, Hilo, Sacramento"
Hawaiian Airlines Inc.,238,"Los Angeles, Honolulu, Kahului, Lihue, Hilo, Kailua/Kona, San Francisco"
